year,team,confederation,rank
1994,Saudi Arabia,AFC,34
1994,South Korea,AFC,37
1994,Cameroon,CAF,24
1994,Morocco,CAF,28
1994,Nigeria,CAF,11
1994,Mexico,CONCACAF,16
1994,United States,CONCACAF,23
1994,Argentina,CONMEBOL,8
1994,Bolivia,CONMEBOL,43
1994,Brazil,CONMEBOL,3
1994,Colombia,CONMEBOL,17
1994,Belgium,UEFA,27
1994,Bulgaria,UEFA,29
1994,Germany,UEFA,1
1994,Greece,UEFA,31
1994,Italy,UEFA,4
1994,Netherlands,UEFA,2
1994,Norway,UEFA,6
1994,Ireland,UEFA,14
1994,Romania,UEFA,7
1994,Russia,UEFA,19
1994,Spain,UEFA,5
1994,Sweden,UEFA,10
1994,Switzerland,UEFA,12
1998,Iran,AFC,42
1998,Japan,AFC,12
1998,Saudi Arabia,AFC,34
1998,South Korea,AFC,20
1998,Cameroon,CAF,49
1998,Morocco,CAF,13
1998,Nigeria,CAF,74
1998,South Africa,CAF,24
1998,Tunisia,CAF,21
1998,Jamaica,CONCACAF,30
1998,Mexico,CONCACAF,4
1998,United States,CONCACAF,11
1998,Argentina,CONMEBOL,6
1998,Brazil,CONMEBOL,1
1998,Chile,CONMEBOL,9
1998,Colombia,CONMEBOL,10
1998,Paraguay,CONMEBOL,29
1998,Austria,UEFA,31
1998,Belgium,UEFA,36
1998,Bulgaria,UEFA,35
1998,Croatia,UEFA,19
1998,Denmark,UEFA,27
1998,England,UEFA,5
1998,France,UEFA,1
1998,Germany,UEFA,2
1998,Italy,UEFA,14
1998,Netherlands,UEFA,25
1998,Norway,UEFA,7
1998,Romania,UEFA,22
1998,Scotland,UEFA,41
1998,Spain,UEFA,15
1998,Yugoslavia,UEFA,8
2002,China,AFC,50
2002,Japan,AFC,1
2002,Saudi Arabia,AFC,34
2002,South Korea,AFC,1
2002,Cameroon,CAF,17
2002,Nigeria,CAF,27
2002,Senegal,CAF,42
2002,South Africa,CAF,37
2002,Tunisia,CAF,31
2002,Costa Rica,CONCACAF,29
2002,Mexico,CONCACAF,7
2002,United States,CONCACAF,13
2002,Argentina,CONMEBOL,3
2002,Brazil,CONMEBOL,2
